B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,60-69,366725.0,192020.0,174705.0,90322.0,81437.0,8885.0,24729.0,13448.0,11281.0,56753.0,36824.0,19929.0,25656.0,19902.0,5754.0,194921.0,60311.0,134610.0,11905.0,4422.0,7483.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,70-79,191002.0,100757.0,90245.0,33521.0,30291.0,3230.0,9734.0,6275.0,3459.0,19967.0,14365.0,5602.0,8010.0,6468.0,1542.0,127780.0,49826.0,77954.0,4070.0,1759.0,2311.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,80+,94242.0,49712.0,44530.0,11215.0,9918.0,1297.0,3348.0,2280.0,1068.0,6631.0,4691.0,1940.0,2936.0,2254.0,682.0,73048.0,32823.0,40225.0,1776.0,741.0,1035.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,Age not stated,10843.0,6859.0,3984.0,1640.0,1414.0,226.0,252.0,142.0,110.0,716.0,438.0,278.0,425.0,292.0,133.0,8235.0,4865.0,3370.0,506.0,246.0,260.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,15-59,5123667.0,2663733.0,2459934.0,1514800.0,1318638.0,196162.0,357201.0,152709.0,204492.0,889897.0,490739.0,399158.0,649836.0,425894.0,223942.0,2361769.0,701647.0,1660122.0,649856.0,252982.0,396874.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Rural,60+,651969.0,342489.0,309480.0,135058.0,121646.0,13412.0,37811.0,22003.0,15808.0,83351.0,55880.0,27471.0,36602.0,28624.0,7978.0,395749.0,142960.0,252789.0,17751.0,6922.0,10829.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,Total,3433242.0,1866185.0,1567057.0,974335.0,852631.0,121704.0,47679.0,21698.0,25981.0,187618.0,108755.0,78863.0,127785.0,76172.0,51613.0,2223610.0,883101.0,1340509.0,399698.0,157600.0,242098.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,5-9,302917.0,161824.0,141093.0,2266.0,1365.0,901.0,540.0,286.0,254.0,4938.0,2688.0,2250.0,1988.0,1090.0,898.0,295173.0,157485.0,137688.0,8684.0,4732.0,3952.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,10-14,316617.0,169344.0,147273.0,4946.0,3350.0,1596.0,1924.0,1027.0,897.0,7954.0,4244.0,3710.0,4396.0,2429.0,1967.0,301793.0,160723.0,141070.0,20123.0,10942.0,9181.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,15-19,311354.0,163264.0,148090.0,17815.0,14320.0,3495.0,4768.0,2371.0,2397.0,16494.0,9347.0,7147.0,14283.0,8146.0,6137.0,272277.0,137226.0,135051.0,82714.0,42428.0,40286.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,20-24,333552.0,180286.0,153266.0,79654.0,70602.0,9052.0,7192.0,3436.0,3756.0,26946.0,15359.0,11587.0,23997.0,13675.0,10322.0,219760.0,90889.0,128871.0,109283.0,49952.0,59331.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,25-29,347554.0,199015.0,148539.0,156060.0,137779.0,18281.0,6695.0,2967.0,3728.0,28604.0,16435.0,12169.0,22856.0,13151.0,9705.0,156195.0,41834.0,114361.0,75843.0,26742.0,49101.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,30-34,290766.0,162684.0,128082.0,148864.0,129873.0,18991.0,5538.0,2322.0,3216.0,23357.0,13468.0,9889.0,16948.0,10132.0,6816.0,113007.0,17021.0,95986.0,39367.0,9924.0,29443.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,35-39,269120.0,146997.0,122123.0,143420.0,124442.0,18978.0,5143.0,2058.0,3085.0,20547.0,11745.0,8802.0,13730.0,8379.0,5351.0,100010.0,8752.0,91258.0,25387.0,4161.0,21226.0
B0101,1.0,0.0,State - JAMMU & KASHMIR (01),Urban,40-49,425694.0,237275.0,188419.0,235820.0,205739.0,30081.0,7747.0,2994.0,4753.0,29600.0,17102.0,12498.0,16822.0,10438.0,6384.0,152527.0,11440.0,141087.0,21992.0,3045.0,18947.0
